"sam1","sam2","n1","n2","coph","dna","ess"
2571441,6950035,36097,93350,2800,1.93021272856462,0.0115408844859308
3934952,11386805,32987,35944,5900,1.74378735843233,0.0329509150311634
13071841,8587695,31700,94933,5800,1.86129907929979,0.0313015214303263
3268698,3335812,26059,24962,100,1.1563753211862,0.00512923626793915
5450736,724785,14005,94933,3300,1.99979742133835,0.00737576897849013
8397203,11045700,90422,48828,7400,0.490790948958404,0.0242268765481142
7756005,774191,14005,26059,2800,0.10450802381907,0.00365294010295547
13088169,3730708,39470,32987,6400,1.94097310857755,0.0276768384177559
1708331,10195257,18027,216666,1100,0.124265651271421,0.00349528338414884
5237119,4971711,30162,32987,3400,0.13782400225916,0.00994093872377066
5625670,4651577,32987,177180,1100,0.00996887890172637,0.00213603798115025
2113249,9176810,36097,27153,600,0.408160451292962,0.00442069158085845
2152062,1667928,22301,36097,900,0.0513668972721442,0.00575871051382248
2665423,692654,36097,22301,900,1.59665819744175,0.0123821378917922
4188462,4919095,29790,29790,0,0.0104241559386666,0.00157822766456939
13804156,15944816,19280,32752,1900,0.0525740598001105,0.00947830115529036
10040643,136412,216319,29790,14400,1.16860382495584,0.00406642805284319
108987,10928661,6483,348733,11000,0.883268427187901,0.0152179890597008
1247409,9679233,18027,217721,1100,7.85278240199583e-05,0.00222033009245248
6671202,12256692,103152,56868,2600,0.680482023797472,0.0171001942016041
8112690,12901712,63407,175194,9900,1.20282292162594,0.0231661342760223
9779912,12351438,7623,56868,11300,0.949063410153956,0.0271190392834197
11042441,609037,254508,32987,2600,1.35357054572794,0.0281818976969836
4242270,3354648,33878,85330,400,0.00773074097635384,0.00117481487031545
10027822,607045,14005,32987,3300,1.73309104403943,0.0110438702488218
8773023,13289338,16376,424791,1800,1.9363140124842,0.00950714995883961
4314000,11580446,32987,186269,9900,1.12866157344048,0.0129216056595501
8640738,16027317,122782,19280,2300,1.93154398955934,0.00506279407434329
13295892,9494484,290492,312925,14600,0.00551003906135827,0.00658234522868328
