"V1","V2","weight","height","size1","size1mean","size1norm"
"L5_955","L6_931","100","1500","11079",81120.8357142857,0.136574036774241
"L5_8201","L6_7910","100","1500","13825",81120.8357142857,0.170424772849885
"L4_9852","L5_9070","200","1400","12447",66604.3793103448,0.186879603546831
"L5_9070","L6_3687","100","1500","14313",81120.8357142857,0.17644048996748
"L5_11247","L6_10842","100","1500","12088",81120.8357142857,0.149012271552218
"L4_17324","L5_15954","200","1400","10075",66604.3793103448,0.15126632969666
"L5_15954","L6_15406","100","1500","10832",81120.8357142857,0.133529196347917
"L5_21163","L6_20323","100","1500","13571",81120.8357142857,0.167293641399334
"L4_37773","L5_27153","200","1400","18301",66604.3793103448,0.274771722062389
"L4_81985","L5_27153","200","1400","14740",66604.3793103448,0.221306769203848
"L4_84434","L5_27153","200","1400","10971",66604.3793103448,0.164718898570923
"L5_27153","L6_26059","100","1500","2965359",81120.8357142857,36.5548379018707
"L4_30162","L5_27383","200","1400","12431",66604.3793103448,0.186639379102648
"L5_27383","L6_26259","100","1500","639902",81120.8357142857,7.8882569979159
"L4_40164","L5_28852","200","1400","13415",66604.3793103448,0.20141318241992
"L5_28852","L6_26059","100","1500","1859118",81120.8357142857,22.9178851971886
"L4_32432","L5_29152","200","1400","10884",66604.3793103448,0.163412678155677
"L5_29152","L6_27795","100","1500","16361",81120.8357142857,0.201686778198696
"L4_378250","L5_32752","200","1400","11419",66604.3793103448,0.171445183008055
"L5_32752","L6_31004","100","1500","88160",81120.8357142857,1.08677381370314
"L4_39672","L5_34378","200","1400","11562",66604.3793103448,0.173592188977943
"L5_34378","L6_32312","100","1500","22799",81120.8357142857,0.281049865909912
"L5_34529","L6_32522","100","1500","15335",81120.8357142857,0.189038979504737
"L5_38675","L6_36211","100","1500","30180",81120.8357142857,0.372037587313529
"L5_38749","L6_36279","100","1500","103581",81120.8357142857,1.27687294007696
"L5_41482","L6_38770","100","1500","32189",81120.8357142857,0.396803111266905
"L5_42057","L6_39257","100","1500","50715",81120.8357142857,0.625178470530338
"L5_44233","L6_41254","100","1500","10990",81120.8357142857,0.13547690803763
"L5_32140","L6_30486","100","1500","46689",81120.8357142857,0.575548804310184
"L5_46495","L6_43258","100","1500","28539",81120.8357142857,0.3518085057767
"L5_47443","L6_44116","100","1500","172803",81120.8357142857,2.1301925513764
"L4_372802","L5_47550","200","1400","15244",66604.3793103448,0.228873839195621
"L5_47550","L6_44116","100","1500","389303",81120.8357142857,4.79905065785019
"L5_43325","L6_26059","100","1500","32421",81120.8357142857,0.399663042355597
"L4_64380","L5_53289","200","1400","20139",66604.3793103448,0.302367505087943
"L5_53289","L6_44116","100","1500","27652",81120.8357142857,0.340874200278121
"L4_93350","L5_56868","200","1400","15117",66604.3793103448,0.226967057669916
"L4_315301","L5_56868","200","1400","15201",66604.3793103448,0.228228236001878
"L5_56868","L6_52500","100","1500","980697",81120.8357142857,12.0893355124459
"L5_37489","L6_35139","100","1500","22255",81120.8357142857,0.274343820598495
"L5_63812","L6_52945","100","1500","28724",81120.8357142857,0.354089054274149
"L5_67633","L6_62272","100","1500","32650",81120.8357142857,0.402485991576763
"L5_68578","L6_63169","100","1500","84455",81120.8357142857,1.04110120730829
"L4_90422","L5_72989","200","1400","17936",66604.3793103448,0.269291601929458
"L5_72989","L6_67263","100","1500","107772",81120.8357142857,1.32853660901105
"L5_73035","L6_67307","100","1500","23280",81120.8357142857,0.286979292003279
"L4_89315","L5_73466","200","1400","10748",66604.3793103448,0.161370770380119
"L5_73466","L6_67721","100","1500","20429",81120.8357142857,0.251834190564217
"L4_90079","L5_74142","200","1400","13137",66604.3793103448,0.197239282702235
"L5_74142","L6_68376","100","1500","28910",81120.8357142857,0.356381930060773
"L5_74967","L6_69166","100","1500","26231",81120.8357142857,0.32335712235988
"L5_76469","L6_70568","100","1500","13739",81120.8357142857,0.169364625980801
"L5_76860","L6_70953","100","1500","118332",81120.8357142857,1.45871278270326
"L5_79036","L6_72948","100","1500","32348",81120.8357142857,0.398763150245793
"L5_80050","L6_73896","100","1500","97129",81120.8357142857,1.19733727031729
"L5_76438","L6_70541","100","1500","20977",81120.8357142857,0.258589545032336
"L4_101255","L5_83648","200","1400","12502",66604.3793103448,0.187705375073711
"L5_83648","L6_77252","100","1500","15019",81120.8357142857,0.185143556125311
"L5_83651","L6_66142","100","1500","36078",81120.8357142857,0.44474393887003
"L5_86161","L6_79463","100","1500","30340",81120.8357142857,0.374009953581593
"L5_72257","L6_66568","100","1500","16389",81120.8357142857,0.202031942295607
"L5_87496","L6_80691","100","1500","68817",81120.8357142857,0.848327059183403
"L5_88002","L6_26059","100","1500","28533",81120.8357142857,0.351734542041647
"L5_90727","L6_83709","100","1500","16977",81120.8357142857,0.209280388330742
"L5_91021","L6_83989","100","1500","13696",81120.8357142857,0.168834552546259
"L5_94827","L6_87531","100","1500","36213",81120.8357142857,0.446408122908708
"L5_95194","L6_87867","100","1500","22471",81120.8357142857,0.277006515060381
"L4_118053","L5_97748","200","1400","10283",66604.3793103448,0.154389247471042
"L5_97748","L6_66214","100","1500","10440",81120.8357142857,0.128696898991161
"L5_102422","L6_94584","100","1500","13105",81120.8357142857,0.161549124643598
"L4_133894","L5_111102","200","1400","10663",66604.3793103448,0.160094578020395
"L5_111102","L6_102680","100","1500","15041",81120.8357142857,0.18541475648717
"L5_113142","L6_104551","100","1500","35989",81120.8357142857,0.443646810133419
